StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4E,Q5E,Q6E,Q7E,Q8E,Q4,Q4_5_TEXT,Q5,Q5b,Q5b_4_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_4_TEXT,Q15,Q16,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Organization name (official name as listed on Terrier Central),Organization Type (based on Splash color),"Does your organization hold ongoing general body meetings on a roughly weekly, biweekly, monthly, or similarly regular basis throughout the semester?",How many events has your organization hosted so far this semester?,Attendance at your first event this semester,Attendance at your most recent event,"If known, please list attendance numbers for intermediate events.",How confident are you in these attendance numbers?,What is the typical frequency of your primary recurring meeting? - Selected Choice,What is the typical frequency of your primary recurring meeting? - Other (specify) - Text,"Does your organization run multiple recurring meeting types (e.g., workshops + general meetings)?",Which meeting type represents the primary gathering for general members? - Selected Choice,Which meeting type represents the primary gathering for general members? - Other (please specify) - Text,How many primary recurring meetings have occurred so far this semester?,Attendance at your first primary meeting this semester,Attendance at your most recent primary meeting,"If known, please list attendance numbers for intermediate meetings. (Example format: Week 1: 42; Week 2: 38; Week 3: 31)","Were any of these primary meetings significantly boosted by special programming (e.g., alumni panel, collaboration, major guest)?",Briefly describe which week(s) and approximate attendance boost.,Is attendance fully voluntary for general members?,How confident are you in the attendance numbers provided?,Typical meeting or event day - Selected Choice,Typical meeting or event day - Varies - Text,Approximate size of executive board,Does your organization typically track attendance formally?,Optional: Is there any context this semester that significantly affected attendance?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID28""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_5_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_4_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID26""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_4_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58_TEXT""}"
2026-03-04 06:15:49,2026-03-04 06:17:34,IP Address,128.197.28.181,100,105,True,2026-03-04 06:17:35,R_1dKD4g9cqRKpttR,,,,,42.3464,-71.0975,anonymous,EN,,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Both equally central,,5,80,60,,No,,Largely required,Estimated but close,Weekday evening,,10,Yes,Spring break had fewer people attend! Because its midterm week + travels
2026-02-25 13:19:19,2026-02-25 13:19:27,IP Address,128.197.28.145,4,7,False,2026-03-04 13:19:34,R_5F4UiqRAc1CFGNj,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03 14:14:13,2026-03-03 14:14:17,IP Address,128.197.28.128,4,4,False,2026-03-10 15:14:18,R_7jeeoJHMaVqnj36,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04 20:12:02,2026-03-04 20:12:21,IP Address,38.42.235.216,17,19,False,2026-03-11 21:12:26,R_30BH3CWJj5gjtNT,,,,,42.3464,-71.0975,anonymous,EN,,Performance and Media Arts,No,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 16:25:57,2026-03-14 16:30:32,IP Address,174.204.136.22,100,274,True,2026-03-14 16:30:32,R_15MA0QFJTybecMj,,,,,40.7828,-73.9745,anonymous,EN,Consulting Group,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Workshop series,,10,44,42,,No,,Largely required,Estimated but close,Weekday evening,,17,Yes,
2026-03-14 21:18:36,2026-03-14 21:20:28,IP Address,107.127.42.63,100,112,True,2026-03-14 21:20:28,R_6mihkr8Oc9xD6UN,,,,,40.7399,-74.1691,anonymous,EN,Delta Kappa Alpha,Performance and Media Arts,Yes,,,,,,Weekly,,Yes,General body meeting,,7,50,40,No,No,,Mostly voluntary,Estimated but close,Weekday evening,,8,Sometimes,
2026-03-16 08:14:22,2026-03-16 08:19:46,IP Address,128.197.28.140,100,323,True,2026-03-16 08:19:46,R_7qzAJoXyNkO0Pg5,,,,,42.3464,-71.0975,anonymous,EN,Hearts for the Homeless Boston,"Community, Peace and Justice",No,1,25,25,10,Estimated but close,,,,,,,,,,,,,,Weekday evening,,8,Sometimes,
2026-03-17 13:05:04,2026-03-17 13:13:45,IP Address,128.197.28.135,100,520,True,2026-03-17 13:13:47,R_3lGftZovTAxVv56,,,,,42.3464,-71.0975,anonymous,EN,Environmental Student Organization,"Community, Peace and Justice",Yes,,,,,,Weekly,,Yes,Both equally central,,8,12,21,Week 2: 13 Week 3: 16 Week 4: 21 Other weeks no data due to collabs,Yes,Week 2: attendance boost 2,Mostly voluntary,Exact counts from sign-in logs,Weekday evening,,9,Yes,First general meeting was on zoom and several meetings were postponed/canceled due to snow
2026-03-17 16:20:12,2026-03-17 16:21:14,IP Address,128.197.28.174,100,61,True,2026-03-17 16:21:14,R_6XhPrG2AupYaMFo,,,,,42.3464,-71.0975,anonymous,EN,Society of Women Engineers,Academic and Pre-Professional,No,5,15,0,"10, 4, 3",Estimated but close,,,,,,,,,,,,,,Weekday evening,,6,Yes,
2026-03-17 21:43:47,2026-03-18 08:20:37,IP Address,204.8.158.106,100,38210,True,2026-03-18 08:20:38,R_6aDXgm7PN3aChcv,,,,,42.3464,-71.0975,anonymous,EN,South Asian Student Association,Cultural,No,2,40,25,,Rough estimate,,,,,,,,,,,,,,Weekday evening,,11,Sometimes,
2026-03-18 08:21:06,2026-03-18 08:22:44,IP Address,128.197.28.130,100,98,True,2026-03-18 08:22:45,R_6NTZfFCx19npxr3,,,,,42.3464,-71.0975,anonymous,EN,Visual Journalists Association,Academic and Pre-Professional,No,1,32,32,,Rough estimate,,,,,,,,,,,,,,Weekday evening,,6,Sometimes,Professors bringing their classes to guest speaker events
2026-03-19 18:19:22,2026-03-19 18:21:18,IP Address,128.197.28.132,100,116,True,2026-03-19 18:21:18,R_5D5EgqF40AJBnDg,,,,,42.3464,-71.0975,anonymous,EN,Boston University Artificial Intelligence Society,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,General body meeting,,6,30,10,,No,,Yes,Rough estimate,Weekday evening,,7,No,
2026-03-20 08:08:18,2026-03-20 08:21:34,IP Address,128.197.28.137,100,795,True,2026-03-20 08:21:34,R_51NqgfhpqjmdITy,,,,,42.3464,-71.0975,anonymous,EN,Alzheimer's Buddies at BU,"Community, Peace and Justice",Yes,,,,,,Biweekly,,No,,,4,30,10,"1: 30, 2: 25, 3: 18, 4:10",No,,Mostly voluntary,Estimated but close,Weekday evening,,7,Yes,
2026-03-14 15:26:04,2026-03-14 15:26:21,IP Address,198.38.10.249,4,16,False,2026-03-21 15:26:22,R_3AsoHmfQhCoBAhb,,,,,40.713,-73.5597,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 15:47:25,2026-03-14 15:47:32,IP Address,76.74.117.254,4,6,False,2026-03-21 15:47:57,R_1EufoP53cDcUdyQ,,,,,25.7701,-80.1928,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 15:24:55,2026-03-14 15:49:01,IP Address,174.254.215.226,4,1445,False,2026-03-21 15:49:04,R_52EXKkNmdP3tk3i,,,,,38.918,-76.5361,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 15:51:57,2026-03-14 15:52:06,IP Address,71.162.206.189,4,8,False,2026-03-21 15:52:06,R_57nmhJ5XIP67nNf,,,,,40.0271,-75.3291,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 15:59:19,2026-03-14 15:59:34,IP Address,71.162.206.189,4,14,False,2026-03-21 16:02:30,R_7YOqcLoCLRgk5kB,,,,,40.0271,-75.3291,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21 21:27:27,2026-03-21 21:31:33,IP Address,24.61.239.118,100,246,True,2026-03-21 21:31:33,R_1L1iXfZf5kKB0lG,,,,,42.2904,-71.0712,anonymous,EN,Data Science Association,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Other (please specify),"Mix of workshop, social event, speaker event",7,30,6,"30, 20, 10, 8, 3",Yes,Week 4 (10) was a guest speaker but there was no visible attendance boost,Yes,Estimated but close,Weekday evening,,11,Sometimes,Did not tease eboard applications
2026-03-15 15:45:08,2026-03-15 15:45:39,IP Address,24.61.239.118,38,31,False,2026-03-22 15:45:40,R_5puO03IosKVExTw,,,,,42.3252,-71.0951,anonymous,EN,eso,"Community, Peace and Justice",Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:40:37,2026-03-16 09:40:40,IP Address,128.197.28.141,4,2,False,2026-03-23 09:40:42,R_3kqZrSaMQDHgJ2h,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 21:43:11,2026-03-16 21:43:39,IP Address,128.197.28.165,4,27,False,2026-03-23 21:43:39,R_1lPqXOQYJPgKQkI,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24 18:24:38,2026-03-24 18:28:55,IP Address,128.197.28.150,100,256,True,2026-03-24 18:28:55,R_37WeNNvuz2k6CXV,,,,,42.3464,-71.0975,anonymous,EN,SciBU: Journal of Undergraduate Science and Research,Academic and Pre-Professional,Yes,,,,,,Biweekly,,Yes,Both equally central,,3,8,13,,No,,Some required attendance,Estimated but close,Weekday evening,,4,Sometimes,"Difficulties with room bookings and therefore somewhat short notice meeting date, time, and location announcements. "
2026-03-17 21:11:46,2026-03-17 21:11:54,IP Address,71.235.147.191,4,7,False,2026-03-24 21:11:58,R_1I3P1aHUBjkDUMC,,,,,42.3474,-71.1582,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 05:59:00,2026-03-18 05:59:14,IP Address,128.197.28.138,4,13,False,2026-03-25 05:59:15,R_3VIQ0GeKDhnWP9v,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 10:25:34,2026-03-18 10:25:53,IP Address,159.26.99.224,4,19,False,2026-03-25 10:25:54,R_3QOqAmzkohlnNKN,,,,,34.0544,-118.244,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25 12:47:42,2026-03-25 12:52:04,IP Address,75.68.159.35,100,262,True,2026-03-25 12:52:05,R_73cZNe0aUGiXRnz,,,,,42.364,-71.0265,anonymous,EN,Russian Speaking Society,Cultural,Yes,,,,,,Biweekly,,No,,,3,30,10,"Event 1: 30
Event 2: 120
Event 3: 10",Yes,"Valentine’s day event, includes many activities and food which members know. Usual events are board games",Yes,Estimated but close,Varies,Friday evening,12,Sometimes,In the colder months people tend to leave their house less. Last event was impacted by BUvsBC hockey game
2026-03-25 23:02:04,2026-03-25 23:04:58,IP Address,204.8.158.102,100,173,True,2026-03-25 23:04:58,R_1Pp0Y6ounZtDt4s,,,,,42.3464,-71.0975,anonymous,EN,Pre-Health Professionals Club,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Both equally central,,5,30,4,Week 1: 30; Week 2: 10; Week 3: 6; Week 4: 4,No,,Yes,Exact counts from sign-in logs,Weekday evening,,6,Yes,
2026-03-26 09:16:08,2026-03-26 09:20:05,IP Address,128.197.28.165,100,236,True,2026-03-26 09:20:05,R_1mGa3INVhL9zo7D,,,,,42.3464,-71.0975,anonymous,EN,Geological Society,Academic and Pre-Professional,Yes,,,,,,Weekly,,No,,,7,17,10,,No,,Yes,Rough estimate,Weekday evening,,5,No,
2026-03-18 14:13:15,2026-03-19 11:35:36,IP Address,128.197.28.176,38,76940,False,2026-03-26 11:35:37,R_3R1pDooxVope5ts,,,,,42.3464,-71.0975,anonymous,EN,Afrithms,Cultural,Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19 19:14:26,2026-03-20 15:00:58,IP Address,128.197.28.131,38,71192,False,2026-03-27 15:01:00,R_7qd4FDi28Mr7cwF,,,,,42.3498,-71.0765,anonymous,EN,Sustainable Ocean Alliance,"Community, Peace and Justice",Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21 22:47:09,2026-03-21 23:15:10,IP Address,128.197.28.136,4,1681,False,2026-03-28 23:15:18,R_11iYOSRohRU68VE,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 19:09:10,2026-03-23 19:09:20,IP Address,128.197.28.186,4,10,False,2026-03-30 19:09:21,R_5PZ6UV8lWlAMtMs,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19 17:42:29,2026-03-24 18:48:27,IP Address,128.197.28.156,4,435957,False,2026-03-31 18:48:28,R_3rMmZhmqzh5zqc7,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24 19:46:35,2026-03-24 19:46:50,IP Address,128.197.28.141,38,14,False,2026-03-31 19:46:55,R_3oGaua7ALDINJPi,,,,,42.3464,-71.0975,anonymous,EN,Dsa,Academic and Pre-Professional,Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25 10:54:49,2026-03-25 10:55:01,IP Address,128.197.28.151,4,12,False,2026-04-01 10:55:07,R_7D1kPsZ1dpvw8JC,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 14:37:04,2026-04-01 14:40:15,IP Address,37.19.199.133,100,191,True,2026-04-01 14:40:15,R_3hrVXSd961plClr,,,,,40.7126,-74.0066,anonymous,EN,Debate Society,Academic and Pre-Professional,Yes,,,,,,Other (specify),Twice a week,Yes,General body meeting,,18,50,30,,No,,Yes,Very rough estimate,Weekday evening,,9,No,
2026-03-26 12:24:59,2026-03-26 12:26:22,IP Address,128.197.28.147,38,82,False,2026-04-02 12:26:22,R_1RfNHX2gQOxNxTh,,,,,42.3464,-71.0975,anonymous,EN,Oral Health Advocacy-BU,Academic and Pre-Professional,Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 11:33:00,2026-04-05 11:39:12,IP Address,71.232.152.158,100,371,True,2026-04-05 11:39:12,R_1OvR4oyJ7xPjrDt,,,,,42.3907,-71.1349,anonymous,EN,Pre-Health Professionals Club,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Other (please specify),Mostly guest speaker events,4,8,6,"Week 1: 5, week 2: 5, week 3: 6",No,,Yes,Exact counts from sign-in logs,Weekday evening,,7,Yes,
2026-03-25 22:11:44,2026-03-29 22:00:47,IP Address,128.197.28.156,4,344942,False,2026-04-05 22:00:48,R_5wzgI2GoSc6JK8s,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 15:41:02,2026-04-07 15:43:55,IP Address,128.197.28.136,100,173,True,2026-04-07 15:43:56,R_5AZpW8a4V4tCqs1,,,,,42.3464,-71.0975,anonymous,EN,Asian Student Union,Cultural,Yes,,,,,,Other (specify),,Yes,Workshop series,,10,100,30,,No,,Yes,Estimated but close,Weekday evening,,19,Yes,
2026-04-01 11:31:01,2026-04-01 11:38:25,IP Address,128.197.28.138,4,443,False,2026-04-08 11:38:27,R_6aS1RMc5VURB5WD,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 15:26:38,2026-04-01 15:26:48,IP Address,172.226.204.75,4,9,False,2026-04-08 15:26:53,R_7i3Tq56BKGFwSIt,,,,,41.3079,-72.9268,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 15:30:32,2026-04-01 15:32:24,IP Address,128.197.28.189,4,111,False,2026-04-08 15:32:25,R_3FxPWwCoilYmsuo,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 10:01:45,2026-04-02 10:02:11,IP Address,128.197.28.134,4,26,False,2026-04-09 10:02:16,R_6zcoBhfZjHCXHmy,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 17:31:22,2026-04-03 12:07:27,IP Address,128.197.28.184,38,66964,False,2026-04-10 12:07:29,R_1CbXVhcQFtEAYj7,,,,,42.3464,-71.0975,anonymous,EN,Theta Tau,Academic and Pre-Professional,Yes,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12 10:03:48,2026-04-12 11:15:21,IP Address,128.197.28.131,100,4292,True,2026-04-12 11:15:21,R_1F2rqwoJXjOG5Li,,,,,42.3464,-71.0975,anonymous,EN,Society of Asian Scientists and Engineers,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,General body meeting,,10,20,25,,No,,Yes,Rough estimate,Weekday evening,,13,No,
